iter	RMSE
407	0.1016171591
408	0.1016032251
409	0.1015537597
410	0.1014425634
411	0.10132595
412	0.1012922551
413	0.1012258364
414	0.101090819
415	0.1010730219
416	0.1010281107
417	0.1008617891
418	0.1008485323
419	0.1007304022
