ID,Current Position,Targeted Position,Total Working Experience,Candidate Level,Domisili,Education 1,Education 2,Education 3,Expected Benefit Botom,Expected Benefit Up,Notice Period,Tech Stack,Certification,Estimate Bottom,Estimate Up
SKU-IONU369,IOS DEVELOPER (FULL-TIME),,4,Mid-Level,"Bandung, West Java, Indonesia","APPLE DEVELOPER ACADEMY, 2022","TELKOM UNIVERSITY, BSc/S.Kom, 2015 - 2020",,0,0,,"UIKit, SwiftUI, Swift, Flutter, Vapor, Alamofire, SnapKit, Moya, Zego SDK, XMPP, Realm, Multipeer Connectivity, SceneKit",,12000000.0,18000000.0
SKU-FUNU1109,Full Stack Developer,,3,Mid-Level,"Jakarta, Indonesia","Universitas Gadjah Mada, Master of Computer Science, AI (MCS. AI), Jan 2024","Universitas Gadjah Mada, Sarjana Sains (S.Si), Aug 2021",,0,0,,"Python, Javascript, Golang (Go), PostgreSQL, MySQL, MongoDB, SQLite, Machine Learning, Deep Learning, Google Cloud, Microservice, Next JS, React JS, FastAPI, Google Kubernetes Engine (GKE), Compute Engine, Django, Docker, Celery, Pytorch, Tensorflow, EvalML, Dataiku, Taiga",,12000000.0,18000000.0
SKU-NUNU629,,,1,Junior,"Bogor, West Java",UNIVERSITAS BINA SARANA INFORMATIKA July 2020 – August 2024 Graduate of Computer Science,,,0,0,,"Bootstrap, MySQL, MongoDB, ReactJS, Microservices, Git, HTML, CSS, JavaScript, Docker, React, Golang, PHP, TailwindCSS, .NET, Python, PostgreSQL, Java, GraphQL, Restful API, Express.js, Redux, Node.js","[""Program analyst by BNSP"",""SOLID programming principle by Dicoding""]",6000000.0,9000000.0
SKU-MANU1127,Mahasiswa calon wisudawan,,1,Junior,Yogyakarta,"Universitas Amikom Yogyakarta, D3-Teknik Informatika, 2021 - 2024","SMA N 1 Banjarsari, IPA, 2018 - 2021",,0,0,,"Pemrograman Web, Basis Data, Pengembangan Web, PHP, HTML, CSS, Javascript, Laravel, Bootstrap, Jquery, Java Springboot, Next.js, Livewire","[""HackerRank SQL (Basic) Certificate"",""Belajar Prinsip Pemrograman SOLID - Dicoding""]",4000000.0,6000000.0
SKU-WEBA223,Web Developer & Backend Specialist,Backend Developer,0,Junior,Semarang,Universitas Siber Asia (2024-2028) Informatika – Beasiswa Penuh,"SMK HIDAYAH SEMARANG (2021 - 2024) Rekayasa Perangkat Lunak – Nilai rata-rata 87,67",,0,0,,"Web Development, Laravel, Node.js, PHP, Bootstrap & TailwindCSS, CSS & SASS, Javascript, Typescript","[""Web Backend Development Level Advance Kelas Industri Crocodic"",""Belajar Dasar Pemrograman Web Dicoding"",""Responsive Web Design FreeCodeCamp"",""Belajar Membuat Aplikasi Backend Untuk Pemula Dicoding""]",4000000.0,7000000.0
SKU-QUFU114,Quality Assurance,Functional Tester,3,Mid-Level,Kabupaten Bandung,"Universitas Pasundan, Teknik Informatika, 2016 - 2020","SMKN 4 Bandung, Rekayasa Perangkat Lunak, 2013 - 2016",,0,0,,"QAlity Jira, Swagger, Dokumen Traceability Matrix, Microsoft Office (Word, Excel, Powerpoint), Scrum / Sprint (Agile Method), Jira, Postman, Testrail, Katalon (record), Postgree/MongoDb",[],8000000.0,12000000.0
SKU-FRNU554,Freelance Full Stack Developer,,5,Mid-Level,"Denpasar, Bali - Indonesia","INSTITUT TEKNOLOGI
ADITYAWARMAN
Information Technology
Bachelor Degree - Unfinished
1998 - 2004",,,0,0,,"Javascript, ReactJs/React Native, d3Js, ThreeJs, SCSS-CSS3-TailwindCss, NodeJs/ExpressJs, MongoDb - MySQL, GraphQL, GIT, Problem Solving",,8000000.0,12000000.0
SKU-FUNU565,Full Stack Developer,,2,Mid-Level,Jakarta,"Universitas Terbuka - Jakarta, Indonesia, Information Systems, Expected Graduation Date: June 2027",,,0,0,,"JavaScript, TypeScript, Python, PHP, Java, SQL, HTML5, CSS3, SCSS, React JS, Next JS, Node JS, Nest JS, Express, Tailwind, Bootstrap, Jest (Testing), Laravel, Postman, Git, Github, Gitlab, Docker, DBeaver, Kubernetes, MariaDB, MongoDB mySQL, PostgreSQL, REST API, Alibaba Cloud, AWS, Jira, UAT, CI/CD, Microservices, jQuery, Lucid, React Hook, DOM, ZOD, Prisma, JSON, Express, ExcelJS, Date-fns, Midtrans, MT940, Parser, Redux, Axios, JWT",[],8000000.0,12000000.0
SKU-ITNU176,IT Manager,,2,Mid-Level,"Central Jakarta, DKI Jakarta","Universitas Terbuka, Sistem Informasi, Jan 2025 - Present","Pijar Camp by Telkom, Full Stack Web & Mobile Developer, May 2023 - Nov 2023","SMKN 1 Cianjur, Software Engineering, Jun 2015 - Jun 2018",0,0,can join ASAP,"Javascript, Typescript, HTML5, CSS, ES6, React.js, Astro.js, Next.js, Electron.js, React Native, Node.js, ExpressJs, Jest.js, Tailwind CSS 4, Bootstrap, Docker, Prisma, Vite.js, Redux, TansStack, Babel, Github, Notion, Trello, MySQL, PostgreSQL, MongoDB","[""MTCNA (MikroTik Certified Network Associate) by ID-Networkers (idn.id) - 2024"",""MTCRE (MikroTik Certified Routing Engineer) by ID-Networkers (idn.id) - 2024"",""Fullstack Web & Mobile Developer by Pijarcamp Telkom (pijarmahir.id) - 2023"",""UI/UX Designer (Zero to Usability Testing) by BuildWithAngga (buildwithangga.com) - 2022""]",8000000.0,12000000.0
SKU-BANU1406,Backend Engineer,,6,Mid-Level,"Jakarta, Indonesia","BINUS UNIVERSITY, Magister Manajemen Sistem Informasi, 2018","BINUS UNIVERSITY, S.Kom, 2013",,0,0,,"Golang, Beego, NodeJs, Express, Python, Pyramid, AWS, GCP, PostgreSQL, Redis, MySQL, vue js, Minio",,15000000.0,25000000.0
SKU-SONU328,Software Quality Assurance,,5,Mid-Level,,"Universitas Andalas 2013-2018
Bachelor of Computer
Information System
IPK 3,07",,,0,0,,"Office Administration, Software Development, User Acceptance Testing, System Integration Testing, Communication, Bug Tracking, Bug Report, Create Test Script, SDLC, Agile, Postman API, Jira, Software Quality Assurance, Manual Test, SIT, UAT, BVT, Testing Mobile, Testing Web, Testing Banking",[],8000000.0,12000000.0
SKU-BANU1288,Back End Developer,,2,Mid-Level,Bandung,"Universitas Sultan Ageng Tirtayasa, Bachelor's Degree in Electrical Engineering, 2022",,,0,0,,"Go (programming language), C, SQL (MariaDB, PostgreSQL, MySQL), Redis, Linux (Ubuntu), git, CI github, Docker, Ubuntu Server, nginx, certbot",[],8000000.0,12000000.0
SKU-ANNU1407,Android Developer,,1,Mid-Level,"Samarinda, East Kalimantan",Bachelor of Informatics | Institut Teknologi Kalimantan August 2018 – October 2022,Mobile Development Student | Bangkit Academy led by Google February 2021 – July 2021,,0,0,,"Git Version Control System, Kotlin, Android Development, Object-Oriented-Programming, MVVM, Jetpack Compose","[""Google Associate Android Developers | Google October 2021 – June 2024"",""Menjadi Android Developer Expert | Dicoding June 2021 – June 2024"",""Belajar Android Jetpack Pro | Dicoding June 2021 – June 2024""]",8000000.0,12000000.0
SKU-SENU943,SEO Engineer and IT Support,,7,Mid-Level,Jakarta Barat,"Ma Chung University, Malang, East Java, Information Technology, January 2013",,,0,0,,"Computer Web Programming, Java Script, NodeJS, ReactJS, Php, Laravel, CI, Yii, MySQL, Cordova, SEO Optimizing, VB.NET, Adobe Photoshop, Networking Mikrotik, Server Admin (Apache, Nginx, Vagrant)","[""CCNA Exploration 1 (CISCO)"",""CCNA Exploration 2 (CISCO)"",""CCNA Exploration 3 (CISCO)"",""CCNA Exploration 4 (CISCO)"",""MTA (Microsoft Technology Associate): Windows Server Administration"",""MOS (Microsoft Office Specialist – MS Word)""]",8000000.0,12000000.0
SKU-MONU287,Mobile Engineer,,3,Mid-Level,"Jakarta, Indonesia","BINUS University - Undergraduate Degree
(S1), Computer Science
2019 - 2024","SMK IDN - Software
Engineering
2016 - 2019",,0,0,,"Java, Kotlin, Swift, Firebase, Gradle,
Android Jetpack, Jetpack Compose,
Clean Architecture, Coroutines,
Dependency Injection, Data Structure,
Material Design, Data Storage,
RxJava, PinLayout, UIKit, SwiftUI,
Carthage, CocoaPods, RxSwift,
HTML, CSS, Bootstrap, PHP,
Laravel, Slim, MySQL, Git, JSON,
Android Studio, XCode, VSCode,
Postman, CircleCI, Sourcetree",[],10000000.0,15000000.0
SKU-PRNU834,Project Manager & Production Lead,,3,Mid-Level,"Kendal, Jawa Tengah","STEKOM Siliwangi University, Teknik Informatika, null","BINA UTAMA VOCATIONAL SCHOOL, KENDAL, Software Engineering, null",,0,0,,"Jira, Clickup, Android Developoer (Koltin), iOS Developer (Swift), PHP (Laravel, CI 3), Firebase, Express JS, Git (Bitbucket, Gitlab, Github)",[],8000000.0,12000000.0
SKU-MONU1208,Mobile Engineer (Flutter),,3,Mid-Level,"WEST JAKARTA, INDONESIA","BACHELOR OF COMPUTER SCIENCE, SYIAH KUALA UNIVERSITY 2017-2022",,,0,0,,"Flutter, Kotlin, Git, Websocket, React Native, Swift, Laravel, Code Igniter, Vue JS, RESTful API, Dart, Java, Python, C, C++, SQL, HTML/CSS, Perl",,8000000.0,12000000.0
SKU-NUNU1173,,,1,Junior,"Jakarta, Indonesia","Universitas Indonesia Jakarta, ID
Bachelor of Computer Science 07/2024
GPA: 3.38/4.0",,,0,0,,"Python, Java, JavaScript, SQL, PostgreSQL, Dash, Swift, Django, NodeJS, SpringBoot, Flutter","[""Google Cloud - Associate Cloud Engineer"",""Google Cloud Skill Boost"",""Dicoding – Learn to Make Back-End Apps"",""Dicoding – Become a Google Cloud Engineer"",""Dicoding – Learn to Build Back-End Applications with Google Cloud"",""Dicoding – Learn DevOps Basics""]",8000000.0,12000000.0
SKU-TETE032,Technical Writer,Technical Writer,4,Mid-Level,Kota Jakarta Selatan,"S1 Sistem Informasi
Universitas Bina Nusantara, Jakarta","Diploma III Teknik Komputer
Politeknik Negeri Sriwijaya, Palembang",,0,0,,"Microsoft Office, Management Project, Project Documentation, Manual Testing",,8000000.0,12000000.0
SKU-SENU636,Senior PHP Developer,,8,Senior,"Jakarta, Indonesia","Bandung Institute of Technology, Bachelor of Science, 2007",,,0,0,,"PHP, Laravel, NodeJS, ReactJs, SQL, Linux, Product Management, AWS, Jquery, HTML, CSS, APIs, Web Server, Magento, Nginx, DB Management",[],18000000.0,28000000.0
SKU-BAAN212,BACKEND DEVELOPER • MOBILE DEVELOPER,Android Developer,4,Mid-Level,,"South Tangerang Insůtute of Technology, Bachelor Degree of Informaůon System",,,8500000,0,3 Weeks,"Java, Corounne, Live Data, Dagger, Kotlin Mul Plaorm Mobile, Kotlin, Room, Realm, SqlLite, DataStore, Firebase, Jetpack Compose, Fluer, Java Spring Boot, NestJS, Swi (StoryBoard, SwiUI)",[],8000000.0,12000000.0
SKU-MONU966,MOBILE ENGINEER,,3,Mid-Level,"Jakarta, Indonesia","Bachelor of Informatics Engineering STMIK MIKROSKIL | Medan, Indonesia | 2016 - 2021",,,0,0,,"Kotlin, Dart, Java, Flutter, Material Design, Android Components, Design Pattern, Solid Principles, Model View Presenter, Model View Viewmodel, Model View Intent, Clean Architecture, Coroutine, Work Manager, Navigation, Espresso, Mockito, Junit, Jetpack Compose, Sqlite, REST API, Room DB, Hive, DataStore, Retrofit, Dio, Http, Dagger, Koin, Hilt, Unit Test, Debugging, Performance Optimization, Git, Security, Modularization, Sonarqube, CI / CD Pipeline with Jenkins, Agile & Waterfall Development",[],12000000.0,18000000.0
SKU-IONU402,iOS Developer,,6,Mid-Level,,Universitas Bina Nusantara | Tehnik Informatika | Maret 2020,,,0,0,,Swift,,12000000.0,18000000.0
SKU-FRNU779,Freelance Web Engineer,,5,Mid-Level,"Semarang, Central Java",Computer Science & Networking 2019 - 2021 | SMK Bina Nusantara,,,0,0,,"React, Vue, Next, Nuxt, Flutter, Golang, Echo Framework, NodeJS, Express, Firebase, Amazon Web Service, Docker, NginX, Apache, PM2, Strapi, Wordpress",[],8000000.0,14000000.0
SKU-FRNU378,FRONT-END WEB ENGINEER,,3,Mid-Level,"East Jakarta, Indonesia","Coding Bootcamp - Front-end
Development Class
Jan 2019 - Mar 2019
BINAR ACADEMY","High School
2007 - 2010
SMAN 11 TANGERANG SELATAN",,0,0,,"HTML, CSS, JavaScript, React.js, Next.js, Docker, CI/CD, Git, TypeScript, TanStack Router, TanStack Query",,8000000.0,12000000.0
SKU-SOBA336,Software Engineer,Backend Developer,6,Mid-Level,Tangerang,"SMA Tarsisius Vireta, Indonesia","SMP Maria Mediatrix, Indonesia","SD Maria Mediatrix, Indonesia",0,0,,"ASP.NET C#, .NET Core, Visual Basic, API REST, JQuery, CSS, HTML, SQL Server Database, .NET MVC, Visual Studio 2012, Visual Studio 2017",[],8000000.0,12000000.0
SKU-FUFU190,FULL-STACK DEVELOPER,Fullstack Developer,3,Mid-Level,,"UNIVERSITAS HALU OLEO, Teknologi Informasi, Jun 2020 - Jun 2022","LPMIK BINA PATRIA INDONESIA, Teknologi Sistem Informasi, Mei 2012 - Mei 2015",,0,0,,"HTML, CSS, JavaScript, React, Vue, Node.js, Laravel, .NET Core, MySQL, PostgreSQL, MongoDB, Git, Docker, Postman, Firebase, Vercel, AWS",,8000000.0,12000000.0
SKU-FRNU1114,FRONTEND DEVELOPER / IT IBI KESATUAN (Freelance),,1,Junior,,Institut Bisnis dan Informatika Kesatuan / Teknologi Informasi / 2024,SMK Taruna Terpadu 1 (BORCESS) / Multimedia / 2020,,0,0,,"React.js, Vue.js, Express.js, Next.js, React Native, Redux, Axios, Tailwind, Bootstrap, Mysql, Mongodb, Microsoft Office, Adobe Illustrator, Adobe Photoshop, Adobe Premiere, Adobe After Effect",,4000000.0,7000000.0
SKU-JUNU1463,JUNIOR SOFTWARE DEVELOPER,,0,Junior,"Bandung, Indonesia","SMK IGASAR PINDAD BANDUNG, Pengembangan Perangkat Lunak & Gim, 2022-2025",,,0,0,,"Laravel, Machine Learning (Python), Django, Codeigniter 3, Flutter",[],4000000.0,6000000.0
SKU-IONU417,IOS Developer,,2,Mid-Level,"Bengkulu, Indonesia","Universitas Sebelas Maret, D3 Teknik Informatika, July 2022",,,0,0,,"Swift, Flutter, Dart, Laravel, Bootstrap, UIKit, XCode, Gitlab, Figma, Firebase, Postman, OneSignal",[],8000000.0,12000000.0
SKU-MANU1455,Mahasiswa,,0,Junior,Kota Bandung,S1 Teknik Informatika ( 2021 - Sekarang ),Jurusan IPA ( 2016 - 2019 ),SMA PASUNDAN 3 BANDUNG,0,0,,"Java, Kotlin, HTML, CSS, JavaScript","[""Sertifikat Bangkit Academy 2023 Batch 2""]",3000000.0,5000000.0
SKU-SYNU084,System Analyst Staff,,1,Junior,Jakarta,"Sriwijaya University, Bachelor’s Degree in Information System (GPA 3.81), February 2023",,,0,0,,"ERP All Modules, BRD, FSD, FID, SIT, UAT Documentation, SQL, UML Diagram, HTML, PHP, Java, CSS, Project Management, SDLC & Agile Methodology, Figma, Adobe XD, CorelDraw, Canva, Microsoft Office (Word, Excel, and PowerPoint), Analytical Thinking, Requirements Gathering, Business Process Mapping, Usability Testing, Teamwork and Collaboration, Critical Thinking and Problem Solving",,8000000.0,12000000.0
SKU-ITBA049,IT Development Digital Project Staff,Backend Developer,4,Mid-Level,"Bandung, Jawa Barat","Universitas Pendidikan Indonesia, Electrical Engineering, 2015 - 2019",,,0,0,,"ReactJS, HTML5, CSS, Sass, JavaScript, jQuery, Axios, Vercel, Sanity, Bootstrap, MaterialUI, CoreUI, C#, .NET Framework, .NET 6.0, ASP.NET Core, Entity Framework (EF), LINQ, xUnit, PHP, Microsoft SQL Server, PostgreSQL, IIS, Jenkins, Docker, GCP, Kubernetes, Kafka",[],8000000.0,12000000.0
SKU-QAQA157,QA Engineer,QA,6,Mid-Level,"DKI Jakarta, Indonesia",Binus University / Computer Science / Maret 2018,,,0,0,can join ASAP,"Java Selenium, Python Selenium, SDLC, SQL, JIRA, Figma","[""QA Enginner Januari 2024 – Juni 2024 Jayjay""]",8000000.0,12000000.0
SKU-NUNU362,,,2,Mid-Level,,"S1 Electrical Engineering - Universitas Singaperbangsa Karawang, 2022","Senior High School - MAS Ma'had Al - Zaytun, 2018",,0,0,,"Flutter, Jetpack Compose, Express.js, Next.js, Ethereum, Solana, React.js, Laravel, Android Native, Kotlin, Java, JavaScript, Dart, Solidity, C++, PHP, C#, Basic, PostgresSQL, Supabase, Firebase, MySQL, Hardhat, Codeigniter, Visual Basic .NET, Visual Basic 6.0, ASP .NET, Java Swing, NginX, Docker",[],8000000.0,12000000.0
SKU-FRNU1120,freelancer web dev,,0,Junior,Bandung,SMAN 24 Bandung,,,0,0,,"react, tailwind, mongodb, antd design, next js, express js","[""OGG Certified by ITB May 2023""]",4000000.0,7000000.0
SKU-WENU1462,WEB DEVELOPER / ARDUINO PROGRAMMER,,3,Junior,Demak,"Bachelor PGRI University, Semarang Informatics graduate with a strong focus on IoT and web development.","PGRI University, Semarang",,0,0,,"HTML, CSS, JavaScript, Bootstrap, Arduino, Sensors, Bluetooth Module, Git, VS Code, Arduino IDE, Figma",,4000000.0,6000000.0
SKU-PRNU1041,Project Manager,,5,Mid-Level,"Depok, West Java","2013 - 2017
Bachelor of Engineering
Gunadarma University
Major in Electrical Engineering.",,,0,0,,"Project Management Methodologies, Software Development Life Cycle (SDLC), Software proficiency (Ms. Office & PM Tools), Project Planning and Tracking, Risk Management, Time Management, Communication & Interpersonal Skills","[""Product Management"",""Manajemen Risiko Perbankan - 1""]",8000000.0,12000000.0
SKU-INNU1367,Information Systems Student | Junior Front-End Web Developer,,0,Junior,"Jawa Barat, Indonesia","Universitas Pamulang, Sistem Informasi, 2028","SMK NEGERI 1 GUNUNGSINDUR, Tehnik Komputer dan Jaringan, 2023",,0,0,,"LAN, Troubleshooting, Bootstrap (Framework), CSS Framework","[""Front End Developer"",""Belajar Membuat Front-End Web untuk Pemula"",""Belajar Dasar Pemrograman Web"",""Sertifikat Kelas Belajar Bootstrap""]",3000000.0,5000000.0
SKU-WENU1204,Web Developer,,1,Junior,"Jakarta Utara, DKI Jakarta","ALWATHONIYAH 43, SMA/SMK/MA - IPS, Jun 2016 – Jun 2019",,,0,0,,"MySQL, GitHub / GIT, Administrasi Linux, MongoDB, PHP, Python, Manajemen Basis Data Redis, TypeScript, docker, pyhton, Rust Programming",,6000000.0,9000000.0
SKU-FRNU1437,Front End Developer,,2,Junior,"Tangerang, Indonesia",Universitas Nusa Mandiri,Sarjana S1 Sistem Informasi,,0,0,,"HTML, CSS, JavaScript, PHP, MySQL, Visual Studio Code, Git, GitHub, Microsoft Office","[""Vaksinasi Merdeka Polda Metro Jaya""]",4000000.0,6000000.0
SKU-BABA181,Backend Developer,Backend Developer,2,Mid-Level,"Bandung, West Java","Politeknik Enjinering Indorama - Purwakarta, West Java, Applied Bachelor of Software engineering Technology, 2022",,,0,0,,"VSCode, Notion, Figma, Laravel, NestJS, DBeaver, NodeJS, MySQL, PostgreSQL, JWT, Git, TypeORM, CodeIgniter, PHP","[""Belajar Dasar Pemrograman JavaScript, Dicoding, Nov 2024"",""Belajar Back-End Pemula dengan JavaScript, Dicoding, Nov 2024"",""EF SET Certificate, EF, Jul 2021"",""UI/UX Design Mastery (Gold), Skilvul, Dec 2021""]",8000000.0,12000000.0
SKU-TETE358,Teknisi / NOC,Teknisi,4,Mid-Level,Bandung,"SMK PASUNDAN 2 BANDUNG, Teknik Jaringan Komputer, null","SMP MUTIARA 4 BANDUNG, null, null",,0,0,,"Mikrotik Configuration, Wordpress Configuration, Assemble LAN (Local Area Network) cables, Assemble PC (Personal Computer), Video Editing, Debian Configuration, Linux Configuration, HTML, Python",,6000000.0,9000000.0
SKU-NUNU1221,,,0,Junior,"Bandung, Jawa Barat","SMKN 11 Kota Bandung, Rekayasa Perangkat Lunak (RPL), 2021 – 2024","SMPN 43 Kota Bandung, Bandung, Jawa Barat, 2018 – 2021",,0,0,,"HTML, CSS Framwrok (Tailwnd , Bootstrap), PHP Framwork (laravel), Java Sciprt, Mysql",,3000000.0,5000000.0
SKU-FRNU1095,Front-End Developer,,1,Junior,"Landak, West Kalimantan","Certificate of Higher Education: Web Developer - Nurul Fikri Computer Training Center - Depok, DKI Jakarta",,,0,0,,"Front-End Engineering, Javascript / Typescript, React / Next, Vue, Express, Git",,6000000.0,9000000.0
SKU-SENU825,Senior Full Stack Developer,,10,Senior,,Course IT Management Fundamentals - From IT Tech to IT Manager from Udemy.,Bachelor of Science & Technology from Universitas Budi Luhur,Software Engineering from SMK Media Informatika,0,0,,"PHP Language, Laravel, Codeigniter, Bootstrap, HTML5, CSS, jQuery, AngularJS, Vue.JS, Typescript Programming, Express.JS, NodeJS, MySQL, MongoDB, Oracle, MariaDb, Wordpress, Drupal, Joomla, WaveMaker, Amazon Web Services","[""Customer Centricity from upGrad."",""NIST - Cyber Security Framework (CSF) Foundation from Alison."",""Introduction to Product Manager from upGrad.""]",18000000.0,28000000.0
SKU-FUNU1332,Fullstack Developer,,1,Junior,"Bandung, West Java, Indonesia","SMKN 4 Bandung, Software Engineering",,,0,0,,"ReactJS, VueJS, ExpressJs, NextJST, TypescripX, LaravelT, Tailwind CSST, Figma","[""Web Responsive Design - Free Code Camp - 2022"",""Junior Web Programming - Dicoding - 2022"",""Java Fundamentals - Oracle Academy - 2023"",""2nd place in web technologies - Lomba Kompetensi Siswa Kota Bandung 2024""]",5000000.0,8000000.0
SKU-ITNU1154,IT Support,,2,Mid-Level,"Kab. Bekasi, Jawa Barat","SMK Muhammadiyah Sampang, Computer and Network Engineering, 2019",,,0,0,,"Microsoft Windows Server 2008, 2012, 2016, 2019, Windows XP, Windows 7, Windows 8.1, Windows 10, Windows 11, Linux, MacOS, Zimbra, Thunderbird, Cisco, TP-Link, Aruba, Starlink, MikroTik, Fortigate, Trendmicro, Symantec, Kapersky, Mcafee, HTML, CSS, Bootstrap, MySQL, SQL, Cabling, Wifi, Switching, Computer, Server, Printer, Scanner, CCTV, IP Camera, Fingerspot, ZKTime, Reprime/Absensi Mobile Application, Telephone & PHBX",,6000000.0,9000000.0
SKU-APNU1174,Application Developer Freelance,,1,Junior,"Jakarta Barat, Indonesia","Sriwijaya University, Informatics Engineering Department, 2024",,,0,0,,"Go, Echo, Gorm, Spring Boot, Spring Framework, microservice, Event Driven Architecture, Java, Python, SQL, Git, CI/CD, Load Test, Kafka, Docker, Trello, Asana, Jaeger, Heroku, Grafana k6, AWS","[""Certification Of Completion Back End Java - Binar Academy Kampus Merdeka""]",8000000.0,12000000.0
