ID,Estimate Bottom,Estimate Up
SKU-FRNU1213,4761048.198257618,7575657.628774312
SKU-SRNU965,9223490.60564082,12462854.316798937
SKU-FRNU815,15460048.068904068,24891621.238482162
SKU-SONU489,5363101.247056932,8140681.78665977
SKU-IONU277,10002433.130573954,15961773.722350718
SKU-UINU910,3655126.4864977403,5643299.210765985
SKU-WENU925,8456811.977142224,12516944.318979565
SKU-I NU415,7927914.86029716,11658151.595928691
SKU-FRNU805,7988125.506643663,12526504.070988158
SKU-SYNU100,4540537.915407471,7561757.744694205
SKU-FRNU947,7838521.6540130405,12076969.233373549
SKU-NUNU1096,5367194.46143289,8320490.246797619
SKU-TENU1418,20734240.599466454,36458833.03055398
SKU-FUNU1365,4443677.9348813705,7246331.69448617
SKU-PRNU892,8663637.468040803,14499436.988995057
SKU-SONU1244,8507206.196713245,14050485.586781772
SKU-CRCO291,4181128.541282038,6568725.608639478
SKU-FLNU1389,8940876.17608339,14632447.64832929
SKU-MONU716,8659942.463366166,13663113.566000417
SKU-SENU791,8531617.1621355,13411741.359266872
SKU-PRNU1044,15311804.573938232,26730907.827747434
SKU-NUNU1162,8530287.355966093,13432700.489476128
SKU-DANU939,3658731.8896671208,5457027.31037565
SKU-SONU569,8273700.874691218,12708056.805491418
SKU-SONU1441,5812063.816559732,8176766.164516749
SKU-NUNU1348,3609481.7390036155,5990089.7815208
SKU-NUNU983,5168798.161905117,7947659.658124335
SKU-MANU346,3223292.99532781,5132326.173274041
SKU-CLNU1373,3693535.656355473,5902834.057224076
SKU-FRNU577,7976989.872766825,12138876.136258218
SKU-NUNU924,4232369.398539932,6502526.068380323
SKU-NUNU904,8145336.796712625,12383260.573246555
SKU-SEIO261,19309435.086203586,32736376.154967755
SKU-STNU922,4556712.827800352,6989912.249878436
SKU-FRNU717,8080244.907763534,12178008.228517981
SKU-GOBA210,8015792.258145723,12229779.319092477
SKU-SYNU475,4823642.288018042,7656030.271452975
SKU-ANNU1345,8294536.588313946,14104628.489615014
SKU-TUNU486,7831959.00017342,11894431.121617503
SKU-BABA239,4420034.947044987,7522259.5961838765
SKU-SYNU059,7991477.476304607,13378961.08745253
SKU-INNU587,3698370.0084898295,6563800.842078966
SKU-NUNU595,3397297.48842056,5645556.158320444
SKU-ITNU365,8018653.225690693,11944609.536629986
SKU-BUNU773,4323548.193576949,7485431.239790982
SKU-JUBA024,8306332.9641568465,13809076.41331911
SKU-NUBA108,3691580.024697248,5839309.759005758
SKU-SONU879,8330810.9030132545,14686577.372945081
SKU-ITNU598,4117299.9178856,6806743.779767774
SKU-PRNU769,5944988.406340264,9348954.807093687
SKU-UINU899,4862127.221322366,7449753.169979853
SKU-BANU695,8285197.61089015,13834847.966782521
SKU-BANU1185,4486315.811628994,7244633.310445973
SKU-NUNU1017,3631084.340663622,5826423.428142043
SKU-INNU611,3711767.8902621055,6377834.381408755
SKU-TETE307,7944187.158103207,12219872.950522732
SKU-STNU991,4379572.056202512,6900690.994777018
SKU-SONU571,7946051.474154942,11895760.107546879
SKU-SONU1132,5621541.898656247,7845237.680374374
SKU-PRNU1268,8157933.3704706915,11931538.661623055
SKU-CONU681,8163851.04931838,12175079.683463464
SKU-FRNU235,5009333.907995122,7347094.275743817
SKU-FUNU1074,4889253.421032652,7713906.736229895
SKU-SOBA198,8012284.565174863,13251676.82707781
SKU-FRNU1234,7974635.211913109,12550386.738180308
SKU-NUBA082,3992600.0890979543,6065377.3519480955
SKU-WENU1377,5037436.341752084,7854303.465201848
SKU-CONU1134,8389751.695846112,11528908.535816997
SKU-MAFU112,7907266.096610149,11892101.916839592
SKU-FUNU1251,8146461.021683468,12225358.451226797
SKU-ITNU753,5696959.65696316,8750903.796329672
SKU-PRNU1155,5344951.056799943,8409458.812349131
SKU-NUNU343,5596785.776970955,8215047.087944898
SKU-SENU1240,8501121.27585888,13099734.351616787
SKU-FUNU634,8253641.498086998,13077742.532377513
SKU-ANNU958,10663373.970498934,16878875.833926283
SKU-FRNU348,4889152.670942363,8008464.120068647
SKU-SENU685,19033741.72669973,29692429.844513904
SKU-NUNU1092,5789210.824817868,8410097.66264093
SKU-WENU313,4213594.255908886,6731076.67481449
SKU-NUNU1457,4674687.323928989,8557081.623917721
SKU-WENU996,4783925.483574327,7308875.68384895
SKU-ITNU686,8038250.92453238,11615213.841946391
SKU-F NU959,7952285.961974762,11882896.29573761
SKU-MONU960,8716572.659049926,14335226.658125952
SKU-SONU384,7957376.483276275,12034984.673207501
SKU-SONU1242,9922909.948603947,15740870.859871848
SKU-UNNU584,3774960.4005887574,5714838.040762658
SKU-BANU1282,8039005.792844955,12478564.422605032
SKU-ANNU1310,7977118.456987288,12578364.97196994
SKU-HENU731,15934260.76855389,30544499.490975056
SKU-ANAN256,9068288.705413766,13080537.591711104
